Model,OpenWeight,Reasoning,APIID,Size,ReleaseDate,Distance,ValidResponseRate
GPT-3.5,no,no,gpt-3.5-turbo-0125,175,2024/1/25,0.796356007,0.9996
GPT-4,no,no,gpt-4-turbo-2024-04-09,1760,2024/4/9,0.762261879,0.9977
GPT-4o,no,no,gpt-4o-2024-11-20,200,2024/11/20,0.945709276,0.9993
GPT-4o-mini,no,no,gpt-4o-mini-2024-07-18,8,2024/7/18,1.076327241,0.9997
o1,no,yes,o1-2024-12-17,300,2024/12/17,0.915954618,0.944
o1-mini,no,yes,o1-mini-2024-09-12,100,2024/9/12,0.710455351,0.9043
Llama 2 7B,yes,no,,7,2023/7/18,1.077130309,0.79672
Llama 3 8B,yes,no,,8,2024/4/18,0.832351119,0.87202
Llama 3 70B,yes,no,,70,2024/4/18,0.747475868,0.9936
Llama 3.1 8B,yes,no,,8,2024/7/23,1.623361162,0.8981
Llama 3.1 70B,yes,no,,70,2024/7/23,0.739810513,1
Llama 3.2 1B,yes,no,,1,2024/9/25,1.181743499,1
Llama 3.2 3B,yes,no,,3,2024/9/25,1.518936199,0.8512
Llama 3.3 70B,yes,no,,70,2024/9/25,0.836412408,1
Vicuna 7B,yes,no,,7,2023/8/2,1.186786459,0.99856
Vicuna 13B,yes,no,,13,2023/8/2,1.256112863,0.99856
Claude 3.5 Sonnet,no,no,claude-3-5-sonnet-20241022,175,2024/10/22,0.95525255,0.9195
Gemma 2B,yes,no,,2,2024/2/21,1.092312024,0.9249
Gemma 7B,yes,no,,7,2024/2/21,1.313730198,0.95832
Gemma 1.1 2B,yes,no,,2,2024/4/5,1.198959928,1
Gemma 1.1 7B,yes,no,,7,2024/4/5,1.549218369,0.99968
Gemma 2 2B,yes,no,,2,2024/7/31,1.921632462,0.9992
Gemma 2 9B,yes,no,,9,2024/6/27,1.869164429,0.96636
Gemma 2 27B,yes,no,,27,2024/6/27,1.190464866,0.9945
DataGemma RIG 27B,yes,no,,27,2024/8/30,1.109241152,0.9514
Gemma 3 1B,yes,no,,1,2025/3/10,1.49521986,1
Gemma 3 4B,yes,no,,4,2025/3/10,1.150850246,1
Gemma 3 12B,yes,no,,12,2025/3/10,1.064270165,0.9994
Gemma 3 27B,yes,no,,27,2025/3/10,1.201594991,1
Gemma 3 270M,yes,no,,0.27,2025/8/14,1.803427757,1
Mistral,yes,no,,7,2023/12/28,0.918883935,0.5505
Mistral-Nemo,yes,no,,12,2024/7/18,0.788861389,1
Command R+,yes,no,,104,2024/4/4,0.879894858,0.99966
Phi 3.5 mini,yes,no,,3.8,2024/8/17,1.556618343,0.8596
Phi 3.5 MoE,yes,no,,60.8,2024/8/17,0.938321653,0.96
Phi 4,yes,no,,14.7,2024/12/12,0.996882648,0.8641
Phi 4 mini,yes,no,,3.84,2025/2/19,1.306640782,0.9927
Qwen2.5 0.5B,yes,no,,0.5,2024/9/19,1.620373202,1
Qwen2.5 1.5B,yes,no,,1.5,2024/9/19,1.126356615,0.9993
Qwen2.5 3B,yes,no,,3,2024/9/19,1.661101006,1
Qwen2.5 7B,yes,no,,7,2024/9/19,1.345129577,1
Qwen2.5 14B,yes,no,,14,2024/9/19,0.932703322,1
Qwen2.5 32B,yes,no,,32,2024/9/19,0.921229774,0.9698
Qwen2.5 72B,yes,no,,72,2024/9/19,1.050418416,0.9676
Qwen3 0.6B,yes,no,,0.6,2025/4/28,1.581530366,1
Qwen3 0.6B thinking,yes,yes,,0.6,2025/4/28,1.870965559,0.998
Qwen3 1.7B,yes,no,,1.7,2025/4/28,1.821013606,1
Qwen3 1.7B thinking,yes,yes,,1.7,2025/4/28,1.111511672,0.9688
Qwen3 4B,yes,no,,4,2025/4/28,1.92587507,1
Qwen3 4B thinking,yes,yes,,4,2025/4/28,1.00459501,0.9932
Qwen3 8B,yes,no,,8,2025/4/28,1.830271148,1
Qwen3 8B thinking,yes,yes,,8,2025/4/28,0.816194646,0.9982
Qwen3 14B,yes,no,,14,2025/4/28,1.209511892,1
Qwen3 14B thinking,yes,yes,,14,2025/4/28,0.75338804,1
Qwen3 32B,yes,no,,32,2025/4/28,0.903617503,1
Qwen3 32B thinking,yes,yes,,32,2025/4/28,0.739492414,0.999
QwQ 32B,yes,no,,32,2025/3/5,0.903617503,0.9162
DeepSeek R1 Llama 8B,yes,yes,,8,2025/1/20,0.747078896,0.9712
DeepSeek R1 Llama 70B,yes,yes,,70,2025/1/20,0.713445915,0.9894
DeepSeek R1 Qwen 1.5B,yes,yes,,1.5,2025/1/20,1.845710794,0.9004
DeepSeek R1 Qwen 7B,yes,yes,,7,2025/1/20,1.140159766,0.8972
DeepSeek R1 Qwen 14B,yes,yes,,14,2025/1/20,0.808664181,0.8352
DeepSeek R1 Qwen 32B,yes,yes,,32,2025/1/20,0.789420809,0.9854
DeepSeek R1 0528 Qwen3 8B,yes,yes,,8,2025/5/28,0.649069652,0.5414
DeepSeek R1,yes,yes,May'25 version,685,2025/5/28,0.81895926,0.6916
DeepSeek V3,yes,no,Mar'25 version,685,2025/3/24,0.740757182,0.9943
DeepSeek V3.1,yes,no,,685,2025/8/21,0.713281631,0.9591
DeepSeek V3.1 thinking,yes,yes,,685,2025/8/21,0.850616883,0.9992
DeepSeek V3.2 Exp,yes,no,,685,2025/9/29,0.529795274,0.9738
DeepSeek V3.2 Exp thinking,yes,yes,,685,2025/9/29,0.881017463,0.9998
DeepSeek V3.2,yes,no,,685,2025/12/1,0.732678557,0.9998
DeepSeek V3.2 thinking,yes,yes,,685,2025/12/1,0.870464091,0.9964
DeepSeek V3.2 Speciale,yes,yes,,685,2025/12/1,0.820813208,0.9968
Kimi K2,yes,no,,1000,2025/11/6,0.844936427,1
Kimi K2 thinking,yes,yes,,1000,2025/11/6,0.860713714,0.903764205